Autre;
Aix Marseille 1 (AIX1);
Aix Marseille 2 (AIX2);
Aix Marseille 3 (AIX3);
Aix Marseille (AIXM);
Albi - Ecole nationale des Mines (EMAC);
Ales - Ecole des Mines (EMAL)
Angers (ANGE);
Amiens (AMIE);
Antilles-Guyane (AGUY);
Artois (ARTO);
Avignon (AVIG);
Belfort-Montbéliard (BELF);
Besançon (BESA);
Bordeaux 1 (BOR1);
Bordeaux 2 (BOR2);
Bordeaux 3 (BOR3);
Bordeaux 4 (BOR4);
Brest - Bretagne Occidentale (BRES);
Brest - ENS Telecom Bretagne (TELB);
Cachan - ENS (DENS);
Caen (CAEN);
Cergy-Pontoise (CERG);
Cergy-Pontoise - ESSEC business School (ESEC);
Clermont Ferrand 1 (CLF1);
Clermont Ferrand 2 (CLF2);
Compiègne - UTC (COMP);
Corte (CORT);
Dijon (DIJO);
Dunkerque - Littoral Cote d'Opale (DUNK);
Evry Val d'Essonne (EVRY);
Grenoble (GREN);
Guyane (YANE)
La Réunion (LARE);
La Rochelle (LARO);
Le Havre (LEHA);
Le Mans (LEMA);
Lille 1 (LIL1);
Lille 2 (LIL2);
Lille 3 (LIL3);
Limoges (LIMO);
Lorient - Bretagne sud (LORI);
Lorraine (LORR);
Lyon - Ecole centrale (ECDL);
Lyon - ENS (ENSL);
Lyon - ENS Sciences (ENSL);
Lyon - INSA (ISAL);
Lyon 1 (LYO1);
Lyon 2 (LYO2);
Lyon 3 (LYO3);
Marseille - Ecole centrale (ECDM);
Metz (METZ);
Montpellier - Ecole Nationale Supérieure Chimie (ENCM);
Montpellier - SupAgro (NSAM);
Montpellier 1 (MON1);
Montpellier 2 (MON2);
Montpellier 3 (MON3);
Mulhouse (MULH);
Nancy - INP Lorraine (INPL);
Nancy 1 (NAN1);
Nancy 2 (NAN2);
Nantes (NANT);
Nantes - Ecole centrale de Nantes (ECDN);
Nantes - Ecole des Mines (EMNA);
Nice (NICE);
Nîmes (NIME)
Nouvelle Calédonie (NCAL);
Orléans (ORLE);
Palaiseau - Ecole Polytechnique (EPXX);
Palaiseau - ENSTA ParisTech (ESTA)
Palaiseau- Institut d'optique théorique et appliquée (IOTA);
Paris - AgroParisTech (AGPT);
Paris - Arts et Métiers ParisTech (ENAM);
Paris - Comue Saclay (SACL)
Paris - Comue PSL (PSLE)
Paris - Conservatoire national des arts et métiers (CNAM);
Paris - Ecole centrale des arts et manufactures (ECAP);
Paris - Ecole nationale des chartes (ENCP);
Paris - Ecole nationale supérieure des mines (ENMP);
Paris - Ecole normale supérieure Ulm (ENSU);
Paris - EHESS (EHES)
Paris - FNSP SciencesPo. (IEPP);
Paris - HEC (EHEC);
Paris - Institut national des télécommunications (TELE);
Paris - Institut de physique du globe (GLOB)
Paris - INALCO (INAL);
Paris - Museum National d'Histoire Naturelle (MNHN);
Paris - Télécom ParisTech (ENST);
Paris 01 (PA01);
Paris 02 (PA02);
Paris 03 (PA03);
Paris 04 (PA04);
Paris 06 (PA06);
Paris 07 (PA07);
Paris 08 (PA08);
Paris 09 (PA09);
Paris 10 (PA10);
Paris 11 (PA11);
Paris 13 (PA13);
Paris Descartes (PA05);
Paris Est (PEST);
Pau (PAUU);
Perpignan (PERP);
Poitiers (POIT);
Poitiers ENSMA (ENSMA);
Polynésie Française (POLF);
Reims (REIM);
Rennes - Ecole nationale supérieure d'agronomie (NSAR);
Rennes - Ecole normale supérieure (ENSR)
Rennes - INSA (ISAR);
Rennes 1 (REN1);
Rennes 2 (REN2);
Rouen (ROUE);
Rouen - INSA (ISAM);
Saint Etienne (STET);
Saint-Etienne - Ecole Nationale d'Ingénieurs de Saint Etienne ENISE (ENIS)
Saint-Etienne - Ecole nationale supérieure des mines (EMSE);
Strasbourg (STRA);
Supélec (SUPL);
Toulon (TOUL);
Toulouse - INP (INPT);
Toulouse - INSA (ISAT);
Toulouse - Institut sup.de l'aéronautique et de l'espace (ESAE);
Toulouse 1 (TOU1);
Toulouse 2 (TOU2);
Toulouse 3 (TOU3);
Tours (TOUR);
Troyes (TROY);
Valenciennes (VALE);
Vaulx-en-Velin : Ecole nationale des travaux publics de l'Etat (ENTP);